Brand,Price(Ksh) 
Nachtmann Gin & Tonic Glasses,5800
Artisanal Wine Gift Box,4100
Stella Roman Rose/Black - Rose Mesh Watch,6500
Large Hand-painted Ceramic Mug with Lid - 560ml,5800
Dahlia Teardrop Hook Dangle Earrings,4100
Metallic Silver Splash Tote Bag,6500
Ele Queen Freshwater Cultured Pearl Heart Pendant - Mom,2400
Vinglace Original Coral Wine Chiller,6400
Cute 5 pairs Women's Socks Gift set,2500
Personalised Glitzy Frame - Happy Days,3550
Personalised Wooden Paddle Board,25500
Snoozies Gin Made Me Do It Super Soft Ladies' House Slippers,1800
Long Furry Hot Water Bottle - 68 cm,1450
Fluttering Knitted Thigh High Ladies Socks,1850
Hand Decorated Rectangular Tray - Elephant,2550
Mother Forever My Friend Open Heart Sapphire Pendant Necklace,3750
Julia Petite Rose Gold-Navy Suede Watch,1650
Baylis & Harding Royale Garden Luxury Wash Bag,4500
Baylis & Harding Sweet Mandarin & Grapefruit Bath & Shower Bubbles - 250ml,5550
Personalised Pink B5 2022 Diary,2500
Stella Roman Rose Gold-Black Watch,5500
Home Sweet Home Velvet Cushion 42cm,5550
Kobe Bryant Jersey Keychain,1800
Happiness Comes in waves Cushion 42cm,1900
Wink Emoji Pillow,6500
Lovebug Giant 1m Teddy Bear,3230
The Bijou Hamper,3800
Baylis & Harding The Fuzzy Duck Bath & Body Set,450
Eco Friendly Shopping Bag with Gusset - Natural,3230
Motivation Time Marker Water Bottle - 2.2litres,3800
Colourful Surprise Gin Hamper,1450
Contemporary Line-Art Earrings,14200
Enno Vatti 100 Movies Scratch Off Poster - Top Films of All Time Bucket List,3500
Olivia Rose Gold - White Watch,5000
Personalised Glitzy Frame - Besties,950
Julia Petite Rose Gold Mesh Watch,2500
Wine & Treats Care Package,9475
Personalised Red Sequin Cotton Throw Pillow Cover,1250
Gold Dot Glitter Decanter,6080
English Lavender Scented Candle with Lamp Jar 2.5 Oz,1800
Personalised Helium Bubble- Special Day,5700
Smartclick Non-Stick Grilling Pan,6950
Pat Starry Swarovski Drop Earrings,1200
Banquet Of Treats Gift Hamper,2000
Dream Velvet Cushion Dark Green 42cm,5850
Sterling Anchor Bracelet,650
Sterling Silver Pearl Bracelet and Drop Earrings Set,3500
Charlotte Rose Black Wrist Watch,8990
Personalised Ferrero Rocher 24 Pack Chocolates,2000
Personalised Girls Just Want To Have Fun Glitzy Frame,10950
